function_name,timestamp,duration_seconds,pid,arguments,return_value
"hipLaunchKernel","12:29:49.074206","0.000941","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.076102","0.007597","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.083833","0.001031","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.084940","0.000974","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.087092","0.000896","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.088041","0.000897","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.088992","0.000944","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.089990","0.000923","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.090967","0.000924","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.091943","0.000918","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.093093","0.000921","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.105045","0.000926","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.106018","0.000916","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.107819","0.000875","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.108744","0.000914","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.109749","0.000903","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.111557","0.000874","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.112479","0.000921","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.113448","0.000869","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.123638","0.000913","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.124612","0.000885","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.131076","0.000894","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.133077","0.029216","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.162441","0.001003","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.163499","0.000931","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.165382","0.000863","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.166298","0.000901","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.167255","0.000869","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.169104","0.000857","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:49.170038","0.000845","2368222","0x7f8fa29e1a90, 0x7f8fa29e1ad8, 0x7f8fa29e1ad0, 0x7f8fa29e1ac8","0"
"hipLaunchKernel","12:29:49.170941","0.000867","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"hipLaunchKernel","12:29:49.211077","0.000880","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.212926","0.005672","2368222","0x13600000136, 1, 0x2000000020, 1","0"
"hipLaunchKernel","12:29:49.219724","0.000982","2368222","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:49.221053","0.001021","2368222","0x13600000136, 1, 0x2000000020, 1","0"
